,Dates,Total Cases
0,"Jan 22, 2020",554
1,"Jan 23, 2020",771
2,"Jan 24, 2020",1208
3,"Jan 25, 2020",1870
4,"Jan 26, 2020",2613
5,"Jan 27, 2020",4349
6,"Jan 28, 2020",5739
7,"Jan 29, 2020",7417
8,"Jan 30, 2020",9308
9,"Jan 31, 2020",11289
10,"Feb 01, 2020",13748
11,"Feb 02, 2020",16369
12,"Feb 03, 2020",19383
13,"Feb 04, 2020",22942
14,"Feb 05, 2020",26302
15,"Feb 06, 2020",28985
16,"Feb 07, 2020",31774
17,"Feb 08, 2020",33738
18,"Feb 09, 2020",35982
19,"Feb 10, 2020",37626
20,"Feb 11, 2020",38791
21,"Feb 12, 2020",51591
22,"Feb 13, 2020",55748
23,"Feb 14, 2020",56873
24,"Feb 15, 2020",57416
25,"Feb 16, 2020",57934
26,"Feb 17, 2020",58016
27,"Feb 18, 2020",57805
28,"Feb 19, 2020",56301
29,"Feb 20, 2020",54921
30,"Feb 21, 2020",53284
31,"Feb 22, 2020",52093
32,"Feb 23, 2020",49824
33,"Feb 24, 2020",47765
34,"Feb 25, 2020",45600
35,"Feb 26, 2020",43258
36,"Feb 27, 2020",39919
37,"Feb 28, 2020",37414
38,"Feb 29, 2020",35129
39,"Mar 01, 2020",32616
40,"Mar 02, 2020",30004
41,"Mar 03, 2020",27423
42,"Mar 04, 2020",25353
43,"Mar 05, 2020",23784
44,"Mar 06, 2020",22179
45,"Mar 07, 2020",20533
46,"Mar 08, 2020",19016
47,"Mar 09, 2020",17721
48,"Mar 10, 2020",16136
49,"Mar 11, 2020",14831
50,"Mar 12, 2020",13524
51,"Mar 13, 2020",12088
52,"Mar 14, 2020",10733
53,"Mar 15, 2020",9893
54,"Mar 16, 2020",8967
55,"Mar 17, 2020",8056
56,"Mar 18, 2020",7263
57,"Mar 19, 2020",6569
58,"Mar 20, 2020",6013
59,"Mar 21, 2020",5353
60,"Mar 22, 2020",5120
61,"Mar 23, 2020",4735
62,"Mar 24, 2020",4287
63,"Mar 25, 2020",3947
64,"Mar 26, 2020",3460
65,"Mar 27, 2020",3128
66,"Mar 28, 2020",2691
67,"Mar 29, 2020",2691
68,"Mar 30, 2020",2161
69,"Mar 31, 2020",2004
70,"Apr 01, 2020",1863
71,"Apr 02, 2020",1727
72,"Apr 03, 2020",1558
73,"Apr 04, 2020",1376
74,"Apr 05, 2020",1299
75,"Apr 06, 2020",1242
76,"Apr 07, 2020",1190
77,"Apr 08, 2020",1160
78,"Apr 09, 2020",1116
79,"Apr 10, 2020",1089
80,"Apr 11, 2020",1138
81,"Apr 12, 2020",1156
82,"Apr 13, 2020",1170
83,"Apr 14, 2020",1137
84,"Apr 15, 2020",1107
85,"Apr 16, 2020",1081
86,"Apr 17, 2020",66
87,"Apr 18, 2020",1058
88,"Apr 19, 2020",1041
89,"Apr 20, 2020",1031
90,"Apr 21, 2020",1003
91,"Apr 22, 2020",1005
92,"Apr 23, 2020",959
93,"Apr 24, 2020",915
94,"Apr 25, 2020",838
95,"Apr 26, 2020",801
96,"Apr 27, 2020",723
97,"Apr 28, 2020",648
98,"Apr 29, 2020",647
99,"Apr 30, 2020",619
100,"May 01, 2020",599
101,"May 02, 2020",557
102,"May 03, 2020",531
103,"May 04, 2020",481
104,"May 05, 2020",395
105,"May 06, 2020",339
106,"May 07, 2020",295
107,"May 08, 2020",260
108,"May 09, 2020",208
109,"May 10, 2020",148
110,"May 11, 2020",141
111,"May 12, 2020",115
112,"May 13, 2020",104
113,"May 14, 2020",101
114,"May 15, 2020",91
115,"May 16, 2020",89
116,"May 17, 2020",86
117,"May 18, 2020",82
118,"May 19, 2020",85
119,"May 20, 2020",87
120,"May 21, 2020",84
121,"May 22, 2020",82
122,"May 23, 2020",79
123,"May 24, 2020",79
124,"May 25, 2020",83
125,"May 26, 2020",81
126,"May 27, 2020",79
127,"May 28, 2020",73
128,"May 29, 2020",70
129,"May 30, 2020",63
130,"May 31, 2020",63
131,"Jun 01, 2020",76
132,"Jun 02, 2020",72
133,"Jun 03, 2020",73
134,"Jun 04, 2020",69
135,"Jun 05, 2020",66
136,"Jun 06, 2020",67
137,"Jun 07, 2020",70
138,"Jun 08, 2020",65
139,"Jun 09, 2020",58
140,"Jun 10, 2020",55
141,"Jun 11, 2020",62
142,"Jun 12, 2020",65
143,"Jun 13, 2020",74
144,"Jun 14, 2020",129
145,"Jun 15, 2020",177
146,"Jun 16, 2020",210
147,"Jun 17, 2020",252
148,"Jun 18, 2020",265
149,"Jun 19, 2020",293
150,"Jun 20, 2020",308
151,"Jun 21, 2020",331
152,"Jun 22, 2020",349
153,"Jun 23, 2020",359
154,"Jun 24, 2020",368
155,"Jun 25, 2020",382
156,"Jun 26, 2020",389
157,"Jun 27, 2020",405
158,"Jun 28, 2020",415
159,"Jun 29, 2020",418
160,"Jun 30, 2020",428
161,"Jul 01, 2020",421
162,"Jul 02, 2020",416
163,"Jul 03, 2020",409
164,"Jul 04, 2020",402
165,"Jul 05, 2020",403
166,"Jul 06, 2020",405
167,"Jul 07, 2020",403
168,"Jul 08, 2020",390
169,"Jul 09, 2020",357
170,"Jul 10, 2020",342
171,"Jul 11, 2020",330
172,"Jul 12, 2020",326
173,"Jul 13, 2020",320
174,"Jul 14, 2020",297
175,"Jul 15, 2020",284
176,"Jul 16, 2020",259
177,"Jul 17, 2020",251
178,"Jul 18, 2020",252
179,"Jul 19, 2020",251
180,"Jul 20, 2020",249
181,"Jul 21, 2020",242
182,"Jul 22, 2020",233
183,"Jul 23, 2020",240
184,"Jul 24, 2020",243
185,"Jul 25, 2020",261
186,"Jul 26, 2020",288
187,"Jul 27, 2020",339
188,"Jul 28, 2020",391
189,"Jul 29, 2020",482
190,"Jul 30, 2020",574
191,"Jul 31, 2020",684
192,"Aug 01, 2020",713
193,"Aug 02, 2020",748
194,"Aug 03, 2020",781
195,"Aug 04, 2020",800
196,"Aug 05, 2020",810
197,"Aug 06, 2020",837
198,"Aug 07, 2020",843
199,"Aug 08, 2020",839
200,"Aug 09, 2020",817
201,"Aug 10, 2020",802
202,"Aug 11, 2020",794
203,"Aug 12, 2020",761
204,"Aug 13, 2020",724
205,"Aug 14, 2020",690
206,"Aug 15, 2020",655
207,"Aug 16, 2020",618
208,"Aug 17, 2020",612
209,"Aug 18, 2020",595
210,"Aug 19, 2020",569
211,"Aug 20, 2020",516
212,"Aug 21, 2020",491
213,"Aug 22, 2020",454
214,"Aug 23, 2020",422
215,"Aug 24, 2020",408
216,"Aug 25, 2020",386
217,"Aug 26, 2020",347
218,"Aug 27, 2020",324
